date,code,close,pbMRQ,isST,ave_close,ave_pbMRQ,code_name
2018-04-10,sz.000021,8.5600,2.167410,0,8.64,2.1876664000000003,深科技
2018-04-17,sz.000021,8.5500,2.147845,0,8.75,2.2015814000000002,深科技
2018-04-24,sz.000021,9.6500,2.424176,0,9.504,2.3874994000000003,深科技
2018-05-03,sz.000021,9.0300,2.271039,0,9.312000000000001,2.3403032,深科技
2018-05-10,sz.000021,8.8400,2.223255,0,8.942000000000002,2.2489076,深科技
2018-05-17,sz.000021,8.4200,2.117625,0,8.544,2.148811,深科技
2018-05-24,sz.000021,8.5100,2.140260,0,8.51,2.14026,深科技
2018-05-31,sz.000021,8.0100,2.014510,0,8.129999999999999,2.04469,深科技
2018-06-07,sz.000021,8.0100,2.014510,0,8.02,2.017025,深科技
2018-06-14,sz.000021,7.7200,1.941575,0,7.784000000000001,1.957671,深科技
2018-06-22,sz.000021,6.4400,1.619656,0,6.766,1.7016447999999997,深科技
2018-06-29,sz.000021,6.8200,1.715226,0,6.619999999999999,1.664926,深科技
2018-07-06,sz.000021,6.7200,1.690076,0,6.704000000000001,1.686052,深科技
2018-07-13,sz.000021,6.8200,1.715226,0,6.816,1.7142199999999999,深科技
2018-07-20,sz.000021,6.9100,1.737861,0,6.897999999999999,1.7348430000000001,深科技
2018-07-27,sz.000021,7.0300,1.768041,0,7.053999999999999,1.7740769999999997,深科技
2018-08-03,sz.000021,6.3800,1.604566,0,6.664,1.6759919999999997,深科技
2018-08-10,sz.000021,6.5700,1.652351,0,6.43,1.6171409999999997,深科技
2018-08-17,sz.000021,6.3800,1.604566,0,6.498,1.6342430000000001,深科技
2018-08-24,sz.000021,6.3300,1.585546,0,6.333999999999999,1.5865478,深科技
2018-08-31,sz.000021,6.1900,1.550478,0,6.348000000000001,1.5900542,深科技
2018-09-07,sz.000021,6.1200,1.532945,0,6.142,1.5384552,深科技
2018-09-14,sz.000021,6.0400,1.512906,0,6.029999999999999,1.5104014,深科技
2018-09-21,sz.000021,6.2200,1.557993,0,6.086,1.5244282,深科技
2018-10-08,sz.000021,5.9500,1.490363,0,6.092,1.5259312,深科技
2018-10-15,sz.000021,5.0300,1.259920,0,5.462000000000001,1.3681282,深科技
2018-10-22,sz.000021,5.3200,1.332560,0,5.052,1.2654307999999999,深科技
2018-10-29,sz.000021,5.1500,1.289978,0,5.184,1.2984943999999998,深科技
2018-11-05,sz.000021,5.6900,1.354550,0,5.502000000000001,1.3228142,深科技
2018-11-12,sz.000021,5.9900,1.425967,0,5.773999999999999,1.3745464,深科技
2018-11-19,sz.000021,6.4600,1.537854,0,6.220000000000001,1.4807202000000002,深科技
2018-11-26,sz.000021,6.1800,1.471198,0,6.118,1.4564386,深科技
2018-12-03,sz.000021,6.2900,1.497384,0,6.136,1.4607234,深科技
2018-12-10,sz.000021,6.1000,1.452153,0,6.17,1.4688174,深科技
2018-12-17,sz.000021,6.0600,1.442631,0,6.09,1.4497728000000003,深科技
2018-12-24,sz.000021,5.9800,1.423586,0,5.933999999999999,1.4126357999999999,深科技
2019-01-02,sz.000021,5.6800,1.352169,0,5.794,1.3793076,深科技
2019-01-09,sz.000021,6.0700,1.445012,0,5.91,1.4069224000000002,深科技
2019-01-16,sz.000021,6.1800,1.471198,0,6.180000000000001,1.471198,深科技
2019-01-23,sz.000021,6.0600,1.442631,0,6.1339999999999995,1.4602472,深科技
2019-01-30,sz.000021,5.9100,1.406922,0,6.050000000000001,1.4402503999999998,深科技
2019-02-13,sz.000021,6.8000,1.618794,0,6.262,1.4907188000000002,深科技
2019-02-20,sz.000021,7.1500,1.702114,0,7.053999999999999,1.6792604,深科技
2019-02-27,sz.000021,7.4300,1.768770,0,7.403999999999999,1.7625805999999997,深科技
2019-03-06,sz.000021,7.9600,1.894941,0,7.639999999999999,1.8187626,深科技
2019-03-13,sz.000021,8.2000,1.952075,0,8.330000000000002,1.9830224,深科技
2019-03-20,sz.000021,8.3200,1.980642,0,8.132,1.935887,深科技
2019-03-27,sz.000021,9.4500,2.249647,0,9.906,2.3582018000000002,深科技
2019-04-03,sz.000021,9.8200,2.337729,0,9.562000000000001,2.2763099999999996,深科技
2019-04-11,sz.000021,9.3000,2.213939,0,9.447999999999999,2.2491714,深科技
2019-04-18,sz.000021,8.9800,2.137760,0,9.059999999999999,2.156805,深科技
2019-04-25,sz.000021,8.4900,1.987127,0,8.738000000000001,2.0523455999999998,深科技
2019-05-07,sz.000021,7.5400,1.731137,0,7.962000000000001,1.842783,深科技
2019-05-14,sz.000021,7.9900,1.834454,0,7.92,1.8183824000000002,深科技
2019-05-21,sz.000021,8.8300,2.027313,0,8.341999999999999,1.915271,深科技
2019-05-28,sz.000021,8.7600,2.011241,0,8.696,1.9965474,深科技
2019-06-04,sz.000021,8.6600,1.988282,0,8.846,2.0309862,深科技
2019-06-12,sz.000021,8.6100,1.976802,0,8.404,1.9295058,深科技
2019-06-19,sz.000021,8.2100,1.884965,0,8.24,1.8918526,深科技
2019-06-26,sz.000021,8.3200,1.910220,0,8.378,1.9235364000000001,深科技
2019-07-03,sz.000021,8.2000,1.882669,0,8.284,1.9019545999999998,深科技
2019-07-10,sz.000021,7.7300,1.774760,0,7.936,1.8220562,深科技
2019-07-17,sz.000021,8.1300,1.866597,0,7.87,1.8069028,深科技
2019-07-24,sz.000021,7.9400,1.822974,0,7.874,1.8078212,深科技
2019-07-31,sz.000021,8.1600,1.873485,0,8.059999999999999,1.8505255999999999,深科技
2019-08-07,sz.000021,7.5500,1.733433,0,7.825999999999999,1.7968005999999999,深科技
2019-08-14,sz.000021,7.9100,1.816087,0,7.644,1.7550148,深科技
2019-08-21,sz.000021,11.7200,2.690839,0,9.798,2.2495594,深科技
2019-08-28,sz.000021,11.9100,2.734461,0,12.478,2.8648704,深科技
2019-09-04,sz.000021,12.6200,2.946997,0,11.79,2.7352119999999998,深科技
2019-09-11,sz.000021,13.1000,3.059086,0,13.306000000000001,3.1071908,深科技
2019-09-19,sz.000021,12.1800,2.844249,0,12.666,2.9577392,深科技
2019-09-26,sz.000021,10.8400,2.531335,0,12.128,2.8321066,深科技
2019-10-10,sz.000021,11.3400,2.648094,0,11.192000000000002,2.6135338,深科技
2019-10-17,sz.000021,10.8200,2.526665,0,11.053999999999998,2.5813081999999996,深科技
2019-10-24,sz.000021,10.3900,2.426252,0,10.496,2.4510052,深科技
2019-10-31,sz.000021,10.1700,2.315627,0,10.803999999999998,2.5110786,深科技
2019-11-07,sz.000021,10.0900,2.297412,0,10.164000000000001,2.3142608,深科技
2019-11-14,sz.000021,9.7400,2.217719,0,9.81,2.2336578,深科技
2019-11-21,sz.000021,10.2200,2.327012,0,10.129999999999999,2.3065194,深科技
2019-11-28,sz.000021,9.5300,2.169904,0,9.664,2.2004148,深科技
2019-12-05,sz.000021,10.3500,2.356612,0,9.926,2.2600702,深科技
2019-12-12,sz.000021,10.5300,2.397596,0,10.556000000000001,2.4035159999999998,深科技
2019-12-19,sz.000021,11.8400,2.695873,0,11.516,2.6221004,深科技
2019-12-26,sz.000021,12.1400,2.764180,0,11.59,2.6389495999999997,深科技
2020-01-03,sz.000021,14.1700,3.226395,0,12.86,2.9281184000000002,深科技
2020-01-10,sz.000021,14.4500,3.290148,0,14.498,3.3010776,深科技
2020-01-17,sz.000021,14.2000,3.233225,0,14.623999999999999,3.3297668000000002,深科技
2020-02-03,sz.000021,13.4200,3.055626,0,14.4,3.2787640000000002,深科技
2020-02-10,sz.000021,15.1800,3.456364,0,13.639999999999997,3.1057182,深科技
2020-02-17,sz.000021,18.3800,4.184978,0,16.518,3.7610154000000002,深科技
2020-02-24,sz.000021,22.9000,5.214145,0,20.682,4.6854444,深科技
2020-03-02,sz.000021,18.8600,4.294270,0,19.669999999999998,4.4787004,深科技
2020-03-09,sz.000021,16.9600,3.861655,0,18.558,4.2255069999999995,深科技
2020-03-16,sz.000021,16.5700,3.772855,0,17.43,3.9686701999999996,深科技
2020-03-23,sz.000021,17.8800,4.071132,0,18.401999999999997,4.1899872,深科技
2020-03-30,sz.000021,18.2200,4.148547,0,18.368000000000002,4.182245400000001,深科技
2020-04-07,sz.000021,22.5700,5.139007,0,19.256,4.3844358,深科技
2020-04-14,sz.000021,19.8200,4.512854,0,20.056,4.5665894,深科技
2020-04-21,sz.000021,19.8900,4.528793,0,20.223999999999997,4.6048418,深科技
2020-04-28,sz.000021,19.0500,4.048666,0,19.259999999999998,4.2118456,深科技
2018-04-10,sz.000063,30.7000,4.067227,0,30.311999999999994,4.0158236,中兴通讯
2018-04-17,sz.000063,31.3100,4.148042,0,31.332,4.1509566,中兴通讯
2018-04-24,sz.000063,31.3100,4.148042,0,31.309999999999995,4.148042,中兴通讯
2018-05-03,sz.000063,31.3100,4.091822,0,31.309999999999995,4.125554,中兴通讯
2018-05-10,sz.000063,31.3100,4.091822,0,31.309999999999995,4.091822,中兴通讯
2018-05-17,sz.000063,31.3100,4.091822,0,31.309999999999995,4.091822,中兴通讯
2018-05-24,sz.000063,31.3100,4.091822,0,31.309999999999995,4.091822,中兴通讯
2018-05-31,sz.000063,31.3100,4.091822,0,31.309999999999995,4.091822,中兴通讯
2018-06-07,sz.000063,31.3100,4.091822,0,31.309999999999995,4.091822,中兴通讯
2018-06-14,sz.000063,25.3600,3.314232,0,29.493999999999993,3.854493599999999,中兴通讯
2018-06-22,sz.000063,14.9800,1.957697,0,18.694,2.4430699999999996,中兴通讯
2018-06-29,sz.000063,13.0300,1.702856,0,13.112,1.7135728000000001,中兴通讯
2018-07-06,sz.000063,13.0400,1.704163,0,13.104000000000003,1.7125273999999997,中兴通讯
2018-07-13,sz.000063,14.1000,1.842692,0,13.059999999999999,1.7067771999999999,中兴通讯
2018-07-20,sz.000063,16.5200,2.158955,0,16.494,2.1555574,中兴通讯
2018-07-27,sz.000063,15.4300,2.016506,0,16.076,2.10093,中兴通讯
2018-08-03,sz.000063,13.3500,2.251078,0,14.346,2.4190238,中兴通讯
2018-08-10,sz.000063,14.5000,2.444991,0,13.74,2.3168398,中兴通讯
2018-08-17,sz.000063,15.9000,2.681060,0,15.814000000000002,2.6665584000000004,中兴通讯
2018-08-24,sz.000063,17.1400,2.890149,0,16.644,2.8065128,中兴通讯
2018-08-31,sz.000063,19.0900,3.630730,0,18.968,3.2807406,中兴通讯
2018-09-07,sz.000063,18.0900,3.440539,0,18.458000000000002,3.5105294000000002,中兴通讯
2018-09-14,sz.000063,18.3600,3.491891,0,17.735999999999997,3.3732124,中兴通讯
2018-09-21,sz.000063,18.5900,3.535635,0,18.368000000000002,3.4934126000000005,中兴通讯
2018-10-08,sz.000063,16.8100,3.197096,0,18.228,3.4667856,中兴通讯
2018-10-15,sz.000063,15.9700,3.037336,0,16.078,3.0578768000000003,中兴通讯
2018-10-22,sz.000063,17.7900,3.383482,0,16.387999999999998,3.1168356000000004,中兴通讯
2018-10-29,sz.000063,17.4500,3.220153,0,17.354,3.2613198,中兴通讯
2018-11-05,sz.000063,18.2300,3.364091,0,17.518,3.2327014,中兴通讯
2018-11-12,sz.000063,20.2000,3.727627,0,19.618000000000002,3.620227,中兴通讯
2018-11-19,sz.000063,21.7300,4.009967,0,20.778,3.8342888000000004,中兴通讯
2018-11-26,sz.000063,20.4300,3.770070,0,20.394,3.763427,中兴通讯
2018-12-03,sz.000063,21.4400,3.956452,0,20.47,3.7774519999999994,中兴通讯
2018-12-10,sz.000063,20.0400,3.698101,0,20.456,3.7748684000000003,中兴通讯
2018-12-17,sz.000063,19.2500,3.552318,0,19.887999999999998,3.6700518000000004,中兴通讯
2018-12-24,sz.000063,20.2600,3.738699,0,19.396,3.5792604000000003,中兴通讯
2019-01-02,sz.000063,19.5600,3.609524,0,19.854,3.6637776000000004,中兴通讯
2019-01-09,sz.000063,19.9200,3.675957,0,19.564,3.6102622,中兴通讯
2019-01-16,sz.000063,20.3100,3.747926,0,20.316000000000003,3.7490332000000004,中兴通讯
2019-01-23,sz.000063,20.4500,3.773761,0,20.384,3.7615816000000004,中兴通讯
2019-01-30,sz.000063,19.7100,3.637204,0,20.124000000000002,3.7136021999999995,中兴通讯
2019-02-13,sz.000063,22.9500,4.235101,0,21.080000000000002,3.8900188,中兴通讯
2019-02-20,sz.000063,24.0000,4.428864,0,23.610000000000003,4.356894800000001,中兴通讯
2019-02-27,sz.000063,29.4500,5.434585,0,28.561999999999994,5.270717,中兴通讯
2019-03-06,sz.000063,31.3000,5.775977,0,30.558000000000003,5.639051,中兴通讯
2019-03-13,sz.000063,28.6800,5.292492,0,29.956,5.52796,中兴通讯
2019-03-20,sz.000063,28.9800,5.347853,0,28.766,5.308362600000001,中兴通讯
2019-03-27,sz.000063,26.6700,4.921575,0,27.85,5.1393276,中兴通讯
2019-04-03,sz.000063,29.8500,5.465699,0,29.657999999999998,5.430542600000001,中兴通讯
2019-04-11,sz.000063,30.3900,5.564576,0,30.262,5.5411383999999995,中兴通讯
2019-04-18,sz.000063,34.0900,6.242066,0,32.495999999999995,5.9501958,中兴通讯
2019-04-25,sz.000063,33.6500,6.161500,0,35.49,6.4984138,中兴通讯
2019-05-07,sz.000063,29.0100,5.127410,0,31.624000000000002,5.675935600000001,中兴通讯
2019-05-14,sz.000063,29.9500,5.293552,0,29.645999999999997,5.2398212,中兴通讯
2019-05-21,sz.000063,29.2000,5.160992,0,29.145999999999997,5.151448,中兴通讯
2019-05-28,sz.000063,29.3000,5.178667,0,28.912,5.1100892,中兴通讯
2019-06-04,sz.000063,30.5000,5.390762,0,29.418,5.1995228000000004,中兴通讯
2019-06-12,sz.000063,31.4700,5.562206,0,31.196000000000005,5.513777800000001,中兴通讯
2019-06-19,sz.000063,30.9700,5.473833,0,30.477999999999998,5.386873999999999,中兴通讯
2019-06-26,sz.000063,31.4800,5.563974,0,31.651999999999997,5.5943742,中兴通讯
2019-07-03,sz.000063,33.2000,5.867977,0,33.303999999999995,5.8863588,中兴通讯
2019-07-10,sz.000063,32.4400,5.733650,0,32.68,5.7760692,中兴通讯
2019-07-17,sz.000063,32.5100,5.746023,0,32.513999999999996,5.7467296,中兴通讯
