date,sz.002073,sh.601999,sh.600880,sz.002181,sz.000793,sh.600845,sz.000651,sh.601318,sz.000917,sz.000733,sz.000063,sz.000503,sz.300017,sz.000938
2014-04-01,8.55,6.88,10.99,15.17,13.26,28.79,28.32,37.7,13.6,11.54,13.14,20.81,107.7,23.82
2014-04-02,8.59,6.85,10.7,15.25,13.26,28.46,28.21,38.49,13.34,11.53,13.18,20.62,100.1,23.5
2014-04-03,8.63,6.9,10.87,15.78,13.26,28.1,27.9,38.56,13.51,11.53,12.89,20.37,99.16,23.94
2014-04-04,8.69,7.04,11.56,16.01,13.26,28.17,28.47,38.92,13.64,11.99,12.92,20.93,101.11,24.0
2014-04-08,8.78,7.1,11.69,15.88,13.26,28.27,29.49,39.89,13.94,12.42,13.06,21.23,103.6,23.93
2014-04-09,8.86,7.22,11.78,17.47,13.26,28.26,29.95,39.47,14.21,12.41,13.4,21.3,104.66,25.01
2014-04-10,8.81,7.2,11.87,17.47,13.26,28.4,30.21,42.28,14.23,12.0,13.43,21.27,104.2,25.19
2014-04-11,8.63,7.14,11.66,17.47,13.26,28.39,31.31,41.21,14.16,12.13,13.84,21.57,98.8,24.89
2014-04-14,8.74,7.2,11.7,17.47,13.26,28.74,31.1,40.81,14.13,12.07,13.71,21.12,101.47,24.67
2014-04-15,8.83,7.23,11.52,17.47,13.26,29.54,30.12,40.07,13.78,11.84,13.68,20.93,102.6,24.16
2014-04-16,8.92,7.2,11.59,17.47,13.26,29.52,30.44,40.19,13.9,11.55,13.45,20.96,101.88,23.1
2014-04-17,8.9,7.1,11.35,19.22,13.26,29.68,29.86,39.6,14.4,11.65,13.48,20.66,105.07,23.37
2014-04-18,9.08,7.3,11.33,19.05,13.26,31.09,29.68,39.57,14.24,11.88,13.59,21.21,105.81,25.71
2014-04-21,8.98,7.13,10.94,18.53,13.26,30.27,29.02,38.91,14.4,12.03,13.32,20.7,108.25,25.37
2014-04-22,9.09,7.15,11.1,17.73,13.26,29.51,29.5,39.26,14.49,11.73,13.68,20.84,105.5,25.6
2014-04-23,9.07,6.97,10.83,18.06,13.26,28.98,30.27,38.97,14.76,11.59,13.47,20.77,110.22,24.63
2014-04-24,8.83,6.82,11.01,16.25,13.26,29.29,29.85,39.52,14.62,11.41,13.15,20.2,110.26,23.71
2014-04-25,8.83,6.68,10.8,15.0,13.26,28.76,29.47,39.01,14.28,10.83,12.86,19.38,105.7,23.13
2014-04-28,8.17,6.24,10.06,14.96,13.26,28.2,29.25,38.09,13.8,10.15,12.9,17.44,106.0,20.82
2014-04-29,8.29,6.28,9.79,15.13,13.26,27.92,30.47,39.09,13.92,10.5,13.28,17.47,107.7,20.8
2014-04-30,8.29,6.4,9.94,15.21,13.26,28.39,30.11,39.14,13.99,10.75,13.18,17.9,113.7,21.01
2014-05-05,8.35,6.48,9.96,15.52,13.26,28.15,30.06,39.2,14.06,10.89,13.07,17.88,118.5,21.85
2014-05-06,8.35,6.51,10.38,15.73,13.26,28.84,29.93,39.53,14.2,10.95,13.16,17.77,118.07,22.09
2014-05-07,8.06,6.51,9.96,14.24,13.26,28.26,29.26,39.36,13.66,10.6,12.91,16.97,116.0,21.17
2014-05-08,8.13,6.54,10.01,14.69,13.26,28.25,29.21,39.35,13.78,10.64,12.6,17.1,112.3,22.3
2014-05-09,7.96,6.36,9.83,14.47,13.26,27.43,29.51,39.26,13.68,10.36,12.64,17.19,107.1,21.74
2014-05-12,8.23,6.62,10.1,14.98,13.26,27.45,29.71,40.05,13.99,10.75,12.96,17.45,108.7,22.38
2014-05-13,8.28,6.6,10.13,14.98,13.26,27.23,29.44,39.92,14.04,10.65,13.01,18.01,109.5,22.0
2014-05-14,8.3,6.61,10.21,14.8,13.26,27.42,29.39,39.87,14.09,10.62,12.92,17.9,115.95,21.88
